SMILES,pIC50
NC(C1=CC(OC)=C(OC)C=C12)=C(CC3=CC=NC=C3)C2=O,5.229
NC(C1=CC(OC)=C(OC)C(OC)=C12)=C(CC3=CC=NC=C3)C2=O,5.284
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C3([H])[H],5.69
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C3([H])[H],5.45
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C3([H])[H],5.182
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C([H])([H])C3([H])[H],5.421
[F]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H]) C3=C([H])N=C([H])C([H])=C3[H],5.595
[F]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H]) C3=C([H])C([H])=C([H])N=C3[H],5.604
[Cl]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])N=C([H])C([H])=C3[H],5.371
[Cl]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=C([H])N=C3[H],5.393
[Br]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H]) C3=C([H])N=C([H])C([H])=C3[H],5.106
[Br]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H]) C3=C([H])C([H])=C([H])N=C3[H],5.133
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C3([H])[H],5.366
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C3([H])[H],5.254
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C3([H])[H],5.947
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C([H])([H])C3([H])[H],5.398
[H]C=1C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2C=1C([H])([H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])N=C([H])C([H])=C3[H],6.009
[H]/C1=C(\OC([H])([H])C([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C3([H])[H],5.15
[H]/C1=C(\OC([H])([H])C([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C3([H])[H],5.115
[H]/C1=C(/C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])N=C([H])C([H])=C3[H])C([H])([H])[H],5.406
[H]/C1=C(/C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=C([H])N=C3[H])C([H])([H])[H],5.337
[H]/C1=C(\[H])C(=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C3([H])[H])C([H])([H])[H],5.326
[H]/C1=C(\[H])C(=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C3([H])[H])C([H])([H])[H],4.899
[F]C=1C([H])=C([H])C([H])=C2C=1C([H])([H])C([H])([H])C2=C([H])C3=C([H])N=C([H])C([H])=C3[H],5.742
[F]C=1C([H])=C([H])C([H])=C2C=1C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=C([H])N=C3[H],6.745
[Cl]C=1C([H])=C([H])C([H])=C2C=1C([H])([H])C([H])([H])C2=C([H])C3= C([H])N=C([H])C([H])=C3[H],6.886
[Cl]C=1C([H])=C([H])C([H])=C2C=1C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=C([H])N=C3[H],6.638
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=NC([H])=C2[H])C([H])([H])C3([H])[H],5.174
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=NC([H])=C2[H])C([H])([H])C([H])([H])C3([H])[H],6.187
[F]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=NC([H])=C3[H],6.097
[Cl]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C ([H])C3=C([H])C([H])=NC([H])=C3[H],5.701
[Br]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=NC([H])=C3[H],5.469
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=NC([H])=C2[H])C([H])([H])C3([H])[H],5.429
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=NC([H])=C2[H])C([H])([H])C([H])([H])C3([H])[H],6.097
[H]/C1=C(\OC([H])([H])[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=NC([H])=C3[H],6.553
[H]C=1C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2C=1C([H])([H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=NC([H])=C3[H],7.046
[H]/C1=C(/C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=NC([H])=C3[H])C([H])([H])[H],5.893
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C=2[S]C([H])=NC=2[H])C([H])([H])C3([H])[H],5.364
[F]C=1C([H])=C([H])C2=C(C=1[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])N=C([H])N=C3[H],5.128
[F]C=1C([H])=C([H])C2=C(C=1[H])C([H])([H])C([H])([H])C2=C([H])C3=C4/C(=C(/[H])C([H])=C3[H])C([H])=NC([H])=C4[H],6.143
[H]/C1=C(\[H])C([H])=C2/C(=C1/[H])C(C3=C2C([H])=C([H])C([H])=C3[H])=C([H])C4=C([H])C([H])=C([H])N=C4[H],5.318
[H]/C1=C(\[H])C([H])=C2/C(=C1/[H])C(C3=C2C([H])=C([H])C([H])=C3[H])=C([H])C4=C([H])C([H])=NC([H])=C4[H],5.562
C[C@H](C1=CC=CC=C1/2)CC2=C/C3=CN=CC=C3,5.553
C12=CC=CC=C1/C(C[C@@H]2C3=CC=CC=C3)=C/C4=CC=CN=C4,5.391
CC12C(C3CC(C4=CC(CCC4(C3CC2)C)=O)CCCCC)CCC1=O,6.638
CC12C(C3CC(C4=CC(CCC4(C3CC2)C)=O)CCCCCC)CCC1=O,6.367
CC12C(C3CC(C4=CC(CCC4(C3CC2)C)=O)CCCCCCCC)CCC1=O,5.745
N#CC(C=CC(CN1C=NC=N1)=C2)=C2C3=CC=C(OS(=O)(N)=O)C=C3,8.699
N#CC(C=CC(CN1C=NC=N1)=C2)=C2C3=CC=C(OS(=O)(N(C)C)=O)C=C3,9.301
ClC1=C(OS(=O)(N)=O)C=CC(C2=C(C#N)C=CC(CN3C=NC=N3)=C2)=C1,9.301
ClC1=C(OS(=O)(N(C)C)=O)C=CC(C2=C(C#N)C=CC (CN3C=NC=N3)=C2)=C1,8.62
ClC1=C(OS(=O)(N)=O)C=C(C2=C(C#N)C=CC (CN3C=NC=N3)=C2)C=C1,9.456
O=S(OC1=CC=C(C2=CC=C(C#N)C(CN3C=NC=N3)=C2) C=C1)(N)=O,6.754
ClC1=C(OS(=O)(N)=O)C=CC(C2=CC=C(C#N)C(CN3C=NC=N3)=C2)=C1,6.836
O=S(OC1=CC=C(C2=CC(C#N)=CC(CN3C=NC=N3)=C2)C=C1)(N)=O,6.553
ClC1=C(OS(=O)(N)=O)C=CC(C2=CC(C#N)=CC (CN3C=NC=N3)=C2)=C1,7.097
O=S(OC1=CC=C(C2=CC=CC(CN3C=NC=N3)=C2)C=C1)(N)=O,6.561
ClC1=C(OS(=O)(N)=O)C=CC(C2=CC=CC(CN3C=NC=N3)=C2)=C1,7.155
O=S(OC1=CC=C(C2=C(C#N)C=C(CN3C=NC=N3)C=C2)C=C1)(N)=O,6.547
ClC1=C(OS(=O)(N)=O)C=CC(C2=C(C#N)C=C(CN3C=NC=N3)C=C2)=C1,6.243
ClC1=C(OS(=O)(N)=O)C=CC(C2=CC(C#N)=CC=C2CN3C=NC=N3)=C1,8.721
CC(C)(C#N)C1=CC(CN2C=NC=N2)=CC(C3=CC=C(OS(=O) (N)=O)C=C3)=C1,7.903
ClC1=C(OS(=O)(N)=O)C=CC(C2=CC(C(C)(C)C#N)=CC (CN3C=NC=N3)=C2)=C1,9.523
O=C(C1=C(CN2C=NC=C2)C=CC=C1)C3=CC=CC=C3,6.252
O=C(C1=CC(CN2C=NC=C2)=CC=C1)C3=CC=CC=C3,8.137
O=C(C1=C(CN2C=NC=C2)C=CC=C1)C3=CC=C(C4=CC=CC=C4)C=C3,6.585
O=C(C1=CC(CN2C=NC=C2)=CC=C1)C3=CC=C(C4=CC=CC=C4)C=C3,8.276
O=C(C1=CC(CN2C=NC=C2)=CC=C1[N+]([O-])=O)C3=CC=CC=C3,7.509
O=C(C1=CC([N+]([O-])=O)=CC=C1CN2C=NC=C2)C3=CC=CC=C3,7.587
O=C(C1=CC([N+]([O-])=O)=CC=C1CN2C=NC=C2)C3=CC=C(C4=CC=CC=C4)C=C3,7.752
O=C(C1=CC(Br)=CC=C1CN2C=NC=C2)C3=CC=CC=C3,6.398
N1(CC=NC1)CC2=CC=CC=C2,3.398
N1(C=CN=C1)CCC2=CC=CC=C2,3.523
N1(C=CN=C1)CCCC2=CC=CC=C2,4.456
C1(C(CC2N=CN=C2)CC3=CC=CC=C3)=CC=CC=C1,4.347
N1(C=CN=C1)CCCCCC2=CC=CC=C2,4.301
C1(C(C2N=CN=C2)C3=CC=CC=C3)=CC=CC=C1,4.602
C1(C(CC2N=CN=C2)C3=CC=CC=C3)=CC=CC=C1,4.31
C1(C(C2N=CN=C2)CCCCC3=CC=CC=C3)=CC=CC=C1,4.593
C1(C(CCC2N=CN=C2)C3=CC=CC=C3)=CC=CC=C1,4.824
C1(C(CCCCC2N=CN=C2)C3=CC=CC=C3)=CC=CC=C1,5.77
C1(C(CCCCCC2N=CN=C2)C3=CC=CC=C3)=CC=CC=C1,4.839
C1(C(C2N=CN=C2)CCC3=CC=CC=C3)=CC=CC=C1,5.347
C1(C(C2=CC=CC=C2)CCN3C=CN=C3)=CC=CC=C1,4.699
C1(C(CCC2=CC=CC=C2)CN3C=CN=C3)=CC=CC=C1,5.26
C1(C(CC2=CC=CC=C2)CCN3C=CN=C3)=CC=CC=C1,5.125
C1(C(C2=CC=CC=C2)CCCN3C=CN=C3)=CC=CC=C1,4.796
C1(C(CC2=CC=CC=C2)CCCN3C=CN=C3)=CC=CC=C1,5.328
CC(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=CC=C3,5.149
N#CC(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=CC=C3,6.319
FC(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=CC=C3,4.996
CC1=CC=CC=C1C(CC2N=CNC2)C3=CC=CC=C3C,4.481
CC1=CC(C(CC2N=CNC2)C3=CC=CC(C)=C3)=CC=C1,4.699
CC(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=C(C)C=C3,4.854
CCC(C=C1)=CC=C1C(CCC2N=CNC2)C3=CC=CC=C3,5.071
CC1=CC=CC=C1C(CC2N=CNC2)C3=CC=CC(C)=C3,5.066
CC1=CC=CC=C1C(CC2N=CNC2)C3=CC=C(C)C=C3,5.495
COC(CC1N=CNC1)OC,5.066
FC(C(C=C1)=CC=C1C(CCC2N=CNC2)C3=CC=C(C(F)(F)F)C=C3)(F)F,3.921
FC1=CC(C(CC2N=CNC2)C3=CC=CC(F)=C3)=CC=C1,4.721
FC(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=C(F)C=C3,5.301
FC(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=C(C(F)(F)F)C=C3,5.284
CC1=CC(CCCCC(C2N=CNC2)C3=CC=C(F)C=C3)=CC=C1,5.42
FC(C(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=C(C(F)(F)F)C=C3)(F)F,4.495
FC(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=C(C#N)C=C3,6.301
FC(C=C1)=CC=C1C(C2N=CNC2)CCCCC3=CC=C(C)C=C3,5.071
N#CC(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=C(OC)C=C3,6.071
N#CC(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=C(C#N)C=C3,6.066
CC1=CC=CC=C1C(CCC2N=CNC2)C3=CC=CC=C3,5.469
FC(C=C1)=CC=C1C(CCN2C=CN=C2)C3=CC=CC=C3,5.301
CC1=CC(C(CCC2N=CNC2)C3=CC=CC=C3)=CC=C1,5.602
FC1=CC=CC=C1C(CCC2N=CNC2)C3=CC=CC=C3,4.796
FC(C=C1)=CC=C1C(CCC2N=CNC2)C3=CC=CC=C3,5.553
CC1=CC(C(C2=CC=CC(C)=C2)CCC3N=CNC3)=CC=C1,4.553
CC(C=C1)=CC=C1C(C2=CC=C(C)C=C2)CCC3N=CNC3,5.456
NC(C=C1)=CC=C1C(C2=CC=C(N)C=C2)CCC3N=CNC3,4.585
O=[N+](C(C=C1)=CC=C1C(C2=CC=C([N+]([O-])=O)C=C2) CCC3N=CNC3)[O-],4.699
FC(C=C1)=CC=C1C(C2=CC=C(F)C=C2)CCC3N=CNC3,5.481
N#CC(C=C1)=CC=C1C(C2=CC=C(C#N)C=C2)CCC3N=CNC3,5.796
FC(C=C1)=CC=C1C(N2N=CN=C2)CCC3=CC=C(F)C=C3,5.398
FC(C=C1)=CC=C1C(C2N=CNC2)CCCCC3=CC=CC=C3C,5.456
FC(C=C1)=CC=C1C(C2N=CNC2)CCCC3=CC=CC=C3,6.097
N#CC(C=C1)=CC=C1C(C2N=CNC2)CCCC3=CC=CC=C3,6.678
FC(C=C1)=CC=C1C(C2N=CNC2)CCCC3=CC=C(F)C=C3,6.201
N#CC(C=C1)=CC=C1C(C2N=CN=C2)CCC3=CC=C(C#N)C=C3,5.959
FC(C=C1)=CC=C1CCCC(C2N=CNC2)C3=CC=C(C#N)C=C3,6.638
FC(C=C1)=CC=C1C(C2N=CNC2)CCC3=CC=CC=C3,6.155
FC(C=C1)=CC=C1C(C2N=CNC2)CCC3=CC=C(F)C=C3,5.658
FC(C=C1)=CC=C1C(CC2N=CNC2)CC3=CC=CC=C3,5.357
FC(C=C1)=CC=C1C(CC2N=CNC2)CCC3=CC=CC=C3,5.658
FC(C=C1)=CC=C1C(CC2N=CNC2)CCC3=CC=C(F)C=C3,5.886
FC(C=C1)=CC=C1CCC(CC2N=CNC2)C3=CC=C(C#N)C=C3,6.301
FC(C=C1)=CC=C1C(CCN2C=CN=C2)C3=CC=C(F)C=C3,5.658
FC(C=C1)=CC=C1CCC(N2N=CN=C2)C3=CC=C(C#N)C=C3,6.721
FC(C=C1)=CC=C1CCCC(N2C=CN=C2)C3=CC=C(C#N)C=C3,7.398
FC(C=C1)=CC=C1CCCC(N2N=CN=C2)C3=CC=C(C#N)C=C3,6.921
FC(C=C1)=CC=C1CCC(N2C=CN=C2)C3=CC=C(C#N)C=C3,6.469
FC(C=C1)=CC=C1CC(C2N=CN=C2)C3=CC=C(C#N)C=C3,6.481
FC(C=C1)=CC=C1CCC(C2N=CN=C2)C3=CC=C(C#N)C=C3,6.678
OC(C1=CC=C(F)C=C1)C(N2N=CN=C2)C3=CC=C(C#N)C=C3,4.377
FC(C=C1)=CC=C1CC(N2N=CN=C2)C3=CC=C(C#N)C=C3,7.301
FC(C=C1)=CC=C1CCC(N2N=CN=C2)C3=CC=C(C#N)C=C3,7.222
OC(C1=CC=C(F)C=C1)C(N2N=CN=C2)C3=CC=C(C#N)C=C3,4.77
OC(CC1=CC=C(F)C=C1)C(N2N=CN=C2)C3=CC=C(C#N)C=C3,6.301
OC(CCC1=CC=C(F)C=C1)C(N2N=CN=C2)C3=CC=C(C#N)C=C3,5.409
OC(CCC1=CC=C(F)C=C1)C(C2N=CN=C2)C3=CC=C(C#N)C=C3,6.301
OC(C1=CC=C(F)C=C1)CC(C2N=CN=C2)C3=CC=C(C#N)C=C3,6.155
N#CC(C=C1)=CC=C1C(C2=CC=C(C#N)C=C2)N3C=CNC3,6.0
O=C1N(C)C2=C3C(OCO3)=CC=C2C(OC)=C1,5.407
C[C@](C1OC(C[C@H]1O)=O)(OC2=CC(C)=C(C(O)=C23)C4=C(C5=C(C=C4)O[C@](C6OC(C[C@@H]6C)=O)(C)CC5=O)O)CC3=O,4.783
C[C@](C1OC(C[C@H]1O)=O)(OC2=C(C(C)=CC(O)=C23)C4=C (C5=C(C=C4)O[C@](C6OC(C[C@@H]6C)=O)(C)CC5=O)O)CC3=O,4.613
CC(O[C@H]1[C@@H](CCCCC)OC(C2=CC=C(OC)C=C21)=O)=O,5.796
OC(C=C1C)=CC2=C1OC(C=C(O)C=C3C)=C3C(O2)=O,5.276
O=C(CCCCCCC/C=C\C/C=C\C/C=C\CC)OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,5.108
OC1=CC(O)=C(C([C@@H](C2=C3C(C([C@H](O)[C@@H](C4=CC=C(O)C=C4)O3)=O)=C(O)C=C2O)[C@H](C5=CC=C(O)C=C5)O6)=O)C6=C1,4.947
OC1=C(C(/C=C/C2=CC=C(O)C=C2)=O)C=CC(O)=C1,5.42
O=C1C2=C([H])C=C(O)C=C2O[C@H](C3=CC=C(O)C=C3)C1,6.469
O=C1C2=C(O)C=C(O)C=C2O[C@H](C3=CC=C([H])C=C3)C1,4.728
O=C1C2=C(O)C([H])=C(O)C([H])=C2OC(C3=CC([H])=C(OC)C([H])=C3)C1[H],4.967
OC(C(O)=C1)=C(O)C=C1C2C(O)C(C3=C(O)C([H])=C(O)C([H])=C3O2)=O,5.0
OC(C(O)=C1)=C([H])C=C1C2C(O)C(C3=C(O)C([H])= C(O)C(O)=C3O2)=O,4.959
OC1=CC(O)=C(C(C(C2=CC=C(OC)C=C2)=CO3)=O)C3=C1,4.903
CC1=CCC2=C1C([C@H](OC(C)=O)[C@H](C)C[C@@H] (OC)/C=C(C)\C2)=O,6.678
CC(C)C(C=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(C(O)=O)CCC3,6.495
OC(C(C/C=C(C)/C)=C1O)=CC2=C1C(C3=C(CCC(C)C)C(O)=C(O)C=C3O2)=O,5.161
OC(C(C/C=C(C)/C)=C1O)=CC2=C1C(C3=C(CCC(C)(O)C)C (OC)=C(O)C=C3O2)=O,5.284
OC(C(C/C=C(C)/C)=C1O)=CC2=C1C(C3=C(CCC(C)C)C(OC)=C(O)C=C3O2)=O,4.684
O=C(C1=CC=CC(OC)=C1CC/2)C2=C\C3=CC=NC=C3,5.201
O=C(C1=CC=C(OC)C=C1CC/2)C2=C\C3=CC=NC=C3,5.051
O=C(C1=CC(OC)=CC=C1CC/2)C2=C\C3=CC=NC=C3,4.886
O=C(C1=CC=CC(O)=C1CC/2)C2=C\C3=CC=NC=C3,6.161
O=C(C1=CC=C(O)C=C1CC/2)C2=C\C3=CC=NC=C3,5.066
O=C(C1=CC(O)=CC=C1CC/2)C2=C\C3=CC=NC=C3,5.523
O=C1C(CC2=CC=NC=C2)CCC3=CC=CC=C31,5.367
O=C1C(CC2=CC=NC=C2)CCC3=C(OC)C=CC=C31,5.658
O=C1C(CC2=CC=NC=C2)CCC3=CC(OC)=CC=C31,5.481
O=C1C(CC2=CC=NC=C2)CCC3=CC=C(OC)C=C31,5.102
O=C1C(CC2=CC=NC=C2)CCC3=C(O)C=CC=C31,6.699
O=C1C(CC2=CC=NC=C2)CCC3=CC(O)=CC=C31,5.208
O=C1C(CC2=CC=NC=C2)CCC3=CC=C(O)C=C31,5.31
